formula,No,S_Phase,Phase,delta,Tm,D_Tm (K),?Hmix (kJ/mol),elec_diff,VEC,modulus_calc,D_Bulk (GPa),Tm,composition_norm
Al87Ni5Y8,3,AM,AM,0.076271241,1042.4389,282.1720208,6.352657218,1.5938,3.35,78.4,25.16028617,0,Al87Ni5Y8
Al85Ni10Zr5,3,AM,AM,0.048827936,1072.6495,339.2667902,6.484541387,1.626,3.75,82.6,36.42581502,0,Al85Ni10Zr5
Al16Ru8Ti6,3,IM,IM,0.032989908,1581.250667,728.1878816,5.456818446,1.753333333,4.533333333,121.2,60.97343684,0,Al16Ru8Ti6
AuCdSn,3,IM,IM,0.048422536,812.21,373.0949349,3.168128318,2.063333333,9.0,106.6666667,80.40453276,0,AuCdSn
AuNi2Sn4,3,IM,IM,0.110431443,973.3785714,554.0218989,2.823437172,2.028571429,6.714285714,116.0,68.10076568,0,AuNi2Sn4
B6CaNi11,3,IM,IM,0.23484133,1900.944444,345.7069202,2.913089698,1.902777778,7.222222222,185.6111111,45.71547135,0,B6CaNi11
BCaNi4,3,IM,IM,0.256936474,1729.333333,356.2301067,4.135065348,1.78,7.5,160.1666667,66.01115226,0,BCaNi4
B6Co20In3,3,IM,IM,0.167799312,1749.767241,504.7520599,8.081578298,1.902758621,7.137931034,170.4827586,60.51196558,0,B6Co20In3
B2CoMo2,3,IM,IM,0.231885545,2451.6,420.3201637,7.720965743,2.056,5.4,217.6,18.99052395,0,B2CoMo2
BCoMo,3,IM,IM,0.210813863,2337.666667,460.5737967,8.034647195,2.026666667,6.0,211.3333333,22.29100466,0,BCoMo
B2CoNb,3,IM,IM,0.231007811,2304.0,350.0935589,9.573115023,1.89,5.0,199.5,24.75378759,0,B2CoNb
B6Co2Nb2,3,IM,IM,0.235718115,2313.0,313.6501235,8.138784184,1.92,4.6,204.4,24.21239352,0,B6Co2Nb2
B6Co21Sb2,3,IM,IM,0.141804485,1828.605517,343.0391846,6.937889802,1.924827586,7.482758621,179.5862069,41.39758217,0,B6Co21Sb2
B6Co21V2,3,IM,IM,0.141177028,1916.827586,244.0658573,3.414507961,1.895862069,7.482758621,187.7241379,19.1957189,0,B6Co21V2
B2CoW2,3,IM,IM,0.209438783,2771.2,783.5469099,7.772270711,2.136,5.4,249.6,51.86752356,0,B2CoW2
B2Co3Zr,3,IM,IM,0.222759904,2021.666667,264.1468447,10.7038639,1.841666667,6.166666667,164.6666667,76.22481369,0,B2Co3Zr
B3FeNd2,3,IM,IM,0.358210792,1908.666667,472.4918577,11.31019182,1.705,4.833333333,151.0,86.28441342,0,B3FeNd2
B4Fe4Nd,3,IM,IM,0.275695917,1993.0,353.3735826,8.277252404,1.846666667,5.555555556,178.6666667,57.76581073,0,B4Fe4Nd
BFe14Nd2,3,IM,IM,0.173835434,1782.176471,217.4332177,6.075547782,1.761176471,7.470588235,156.9411765,47.3441351,0,BFe14Nd2
B6Hf2Ni21,3,IM,IM,0.161091476,1910.137931,297.2495439,5.926296753,1.894827586,8.137931034,184.2758621,26.83653782,0,B6Hf2Ni21
B4InNi15,3,IM,IM,0.151892413,1787.2875,397.3485189,5.96951581,1.9295,8.25,179.8,44.80133927,0,B4InNi15
BIn2Ni7,3,IM,IM,0.147112499,1530.45,580.1971303,6.533566254,1.897,7.9,148.4,75.33286136,0,BIn2Ni7
B2MgNi7,3,IM,IM,0.170569425,1771.7,374.1938134,4.722087674,1.876,7.8,175.3,46.77189327,0,B2MgNi7
B6Mn2Ni21,3,IM,IM,0.14184762,1842.068966,264.1752202,3.663758269,1.912068966,8.344827586,184.9655172,24.983419,0,B6Mn2Ni21
B2Mo2Ni,3,IM,IM,0.231835368,2443.6,433.4312402,7.369394005,2.062,5.6,217.6,18.99052395,0,B2Mo2Ni
B6Ni21Sb2,3,IM,IM,0.140807198,1799.64,348.5777417,6.598398972,1.946551724,8.206896552,179.5862069,41.39758217,0,B6Ni21Sb2
B6Ni21Sn2,3,IM,IM,0.165844273,1772.143448,425.4167116,5.867272128,1.940344828,8.137931034,180.6896552,37.76981412,0,B6Ni21Sn2
B2NiTa,3,IM,IM,0.230825655,2429.0,558.0147848,9.380206887,1.8725,5.25,207.0,18.41195264,0,B2NiTa
B6Ni21Ta2,3,IM,IM,0.147152015,1964.206897,438.4737148,3.900508322,1.90862069,8.206896552,190.4827586,17.83955444,0,B6Ni21Ta2
B6Ni20Ti3,3,IM,IM,0.154778924,1878.517241,248.6477387,4.939410257,1.89862069,7.931034483,181.862069,30.06627637,0,B6Ni20Ti3
B6Ni21Zr2,3,IM,IM,0.16388389,1884.068966,257.8075908,7.095015022,1.896896552,8.137931034,176.6896552,51.22573669,0,B6Ni21Zr2
Bi2CaMg2,3,IM,IM,0.089639929,810.08,227.7415851,12.07572905,1.532,3.2,33.8,10.47664068,0,Bi2CaMg2
BiCuMg,3,IM,IM,0.101827533,941.8233333,332.2011887,6.081070947,1.743333333,6.0,72.0,48.42175819,0,BiCuMg
CaAl2Zn2,3,IM,IM,0.14784248,873.46,161.8065441,6.43341278,1.504,6.4,61.8,22.56014184,0,Al2CaZn2
CaAlZn,3,IM,IM,0.165893148,913.7166667,172.9762821,6.556810928,1.42,5.666666667,54.33333333,26.51205177,0,AlCaZn
Ca7Mg6Si14,3,IM,IM,0.238544475,1368.925926,336.6965802,10.43796088,1.535555556,3.037037037,66.25925926,36.32935003,0,Ca7Mg6Si14
Ca6.23Mg3.78Sn7,3,IM,IM,0.100146686,821.3374486,273.9374307,11.42854752,1.463950617,2.823045267,40.09465021,18.23811672,0,Ca6.23Mg3.78Sn7
Ca2Mg6Zn3,3,IM,IM,0.119248417,895.0945455,142.7980293,3.618654683,1.346363636,4.727272727,46.72727273,17.60728625,0,Ca2Mg6Zn3
Ca65Mg15Zn20,3,AM,AM,0.134526416,1001.736,168.439018,4.195021692,1.1765,4.0,31.8,21.45600149,0,Ca65Mg15Zn20
CdIn3Na2,3,IM,IM,0.084574851,437.5596667,74.8339571,1.247219129,1.481666667,3.833333333,9.1,14.98065419,0,CdIn3Na2
Cd5Li4Mg,3,IM,IM,0.017967331,570.87,134.7901194,2.709686329,1.368,6.6,29.9,15.45606677,0,Cd5Li4Mg
Co5Cr2Mo3,3,IM,IM,0.069799467,2188.8,488.4581456,1.153082824,1.92,7.5,191.0,26.62705391,0,Co5Cr2Mo3
CoCrNi,3,SS,FCC,0.001645599,1892.0,204.3004324,1.799634165,1.816666667,8.333333333,173.3333333,9.428090416,0,CoCrNi
CoFeNi,3,SS,FCC,0.003276471,1769.0,33.89198529,0.509175077,1.873333333,9.0,176.6666667,4.714045208,0,CoFeNi
CoMnNi,3,SS,FCC,0.037346826,1671.666667,109.1797702,2.079688169,1.78,8.666666667,160.0,28.28427125,0,CoMnNi
Cr6Fe18Mo5,3,IM,IM,0.061199834,2074.413793,402.1868255,0.356364523,1.851724138,7.24137931,178.2758621,23.93510847,0,Cr6Fe18Mo5
CrFeNi,3,SS,FCC,0.002649758,1906.333333,196.4558192,1.645545177,1.8,8.0,170.0,8.164965809,0,CrFeNi
Cr9Mo21Ni20,3,IM,IM,0.075236814,2299.92,531.6543178,1.852779274,1.97,7.6,197.4,28.62236887,0,Cr9Mo21Ni20
Cu2GeLi,3,IM,IM,0.083792157,1095.1475,375.158247,6.375995633,1.6975,6.75,72.75,67.36235967,0,Cu2GeLi
CuGeLi2,3,IM,IM,0.094415076,869.1175,418.6779976,8.012014903,1.4675,4.25,40.5,57.62161053,0,CuGeLi2
Cu2In3Sn1,3,IM,IM,0.095938404,751.645,429.4218019,2.498696505,1.85,5.833333333,56.33333333,62.61433986,0,Cu2In3Sn1
CuMgSb,3,IM,IM,0.100931888,1061.516667,209.629642,5.490732934,1.753333333,6.0,75.66666667,45.50702022,0,CuMgSb
Cu16Mg6Si7,3,IM,IM,0.11787283,1347.286897,255.2692628,5.140500651,1.777931034,7.448275862,110.6896552,37.34102251,0,Cu16Mg6Si7
Cu3MgSi,3,IM,IM,0.113647474,1336.662,242.9772037,4.875525818,1.782,7.8,113.0,37.36308338,0,Cu3MgSi
Cu4MgSn,3,IM,IM,0.112927833,1143.193333,326.5594162,2.922876986,1.811666667,8.333333333,110.5,41.88774682,0,Cu4MgSn
CuNiTi,3,IM,IM,0.071637003,1675.59,240.9694508,9.706389224,1.783333333,8.333333333,143.3333333,28.67441756,0,CuNiTi
CuTiZn,3,IM,IM,0.055165568,1330.483333,509.9896255,4.086009453,1.696666667,9.0,106.6666667,28.67441756,0,CuTiZn
Cu50Zr45Al5,3,AM,AM,0.110454894,1683.1585,412.4175825,4.810342607,1.629,7.45,73.8,68.13486626,0,Al5Cu50Zr45
Cu50Zr47Al3,3,AM,AM,0.111447554,1707.0491,402.7834702,3.730041616,1.6234,7.47,72.28,68.91212956,0,Al3Cu50Zr47
Cu51.5Zr40.5Al8,3,AM,AM,0.108847255,1635.76915,421.1732235,6.029217639,1.64595,7.525,78.18,66.66309024,0,Al8Cu51.5Zr40.5
Cu52.5Zr42.5Al5,3,AM,AM,0.110629219,1663.90275,409.1666181,4.790232018,1.64325,7.625,77.3,67.84917096,0,Al5Cu52.5Zr42.5
Cu53.2Zr41.8Al5,3,AM,AM,0.110625144,1658.51114,408.0889228,4.782504698,1.64724,7.674,78.28,67.73656029,0,Al5Cu53.2Zr41.8
Cu54Zr42.5Al3.5,3,AM,AM,0.111504929,1670.26725,400.9733076,4.005775791,1.6476,7.745,78.26,68.27541578,0,Al3.5Cu54Zr42.5
Cu55Zr40Al5,3,AM,AM,0.110505978,1644.647,404.9750764,4.759660781,1.6575,7.8,80.8,67.38070941,0,Al5Cu55Zr40
Cu58.1Zr35.9Al6,3,AM,AM,0.109164109,1608.82457,400.9385353,5.143006936,1.67797,8.007,85.9,65.99507557,0,Al6Cu58.1Zr35.9
Cu58.7Zr36.3Al3.5,3,AM,AM,0.110590443,1626.544609,390.8810396,3.988826902,1.679634518,8.136040609,86.1319797,66.83507121,0,Al3.5Cu58.7Zr36.3
Cu59.6Zr36.9Al3.5,3,AM,AM,0.110629231,1627.13437,390.7105356,3.959848238,1.67952,8.137,86.1,66.86217167,0,Al3.5Cu59.6Zr36.9
Cu60.3Zr37.2Al2.5,3,AM,AM,0.111180044,1633.68806,386.0836289,3.365453925,1.68071,8.196,86.32,67.17185125,0,Al2.5Cu60.3Zr37.2
Cu60Zr30Ti10,3,AM,AM,0.105535828,1647.162,358.1120907,4.413521043,1.693,8.2,95.0,62.80923499,0,Cu60Ti10Zr30
FeCoNi,3,SS,FCC,0.003276471,1769.0,33.89198529,0.509175077,1.873333333,9.0,176.6666667,4.714045208,0,CoFeNi
Fe91Hf7B2,3,SS,BCC,0.082532547,1870.41,189.9238845,4.726629741,1.7971,7.62,166.88,17.33740465,0,B2Fe91Hf7
FeMnNi,3,SS,FCC,0.039285427,1686.0,122.8522147,2.064794054,1.763333333,8.333333333,156.6666667,26.24669291,0,FeMnNi
Fe89Zr5B6,3,SS,BCC,0.101392798,1859.13,141.6848372,5.657060995,1.8176,7.5,164.74,39.90353869,0,B6Fe89Zr5
Fe89Zr7B4,3,SS,BCC,0.09855671,1854.71,129.2339967,5.58264241,1.8034,7.52,160.26,45.21915966,0,B4Fe89Zr7
Gd56Al24Co20,3,AM,AM,0.144683106,1465.2328,306.9715616,5.626965195,1.4344,8.12,75.52,54.51247197,0,Al24Co20Gd56
La55Al25Cu20,3,AM,AM,0.158779617,1161.0715,145.7715908,7.791379275,1.3875,4.6,62.4,43.60550424,0,Al25Cu20La55
La66Al14Cu20,3,AM,AM,0.152377934,1189.6198,121.8532714,5.819805672,1.3314,4.6,57.12,44.53521753,0,Al14Cu20La66
La55Al25Ni20,3,AM,AM,0.164996524,1235.1175,268.9053205,4.797253277,1.3895,4.4,70.4,58.30128644,0,Al25La55Ni20
Mg32Al24.5Zn24.5,3,IM,IM,0.062373018,856.5021605,107.9646516,1.191731419,1.503580247,5.327160494,61.9382716,13.88564022,0,Al24.5Mg32Zn24.5
Mg65Cu25Gd10,3,AM,AM,0.105473258,1097.8925,245.9537592,2.798747086,1.4465,5.05,68.05,41.59143542,0,Cu25Gd10Mg65
Mg65Cu25Y10,3,AM,AM,0.10557074,1119.2925,292.3407133,2.798747086,1.4485,4.35,68.35,41.38390388,0,Cu25Mg65Y10
Mg65Ni20Nd15,3,AM,AM,0.116554894,1140.1,321.6426433,4.122172122,1.4045,4.2,70.05,55.16201138,0,Mg65Nd15Ni20
Mg70Ni15Nd15,3,AM,AM,0.105473342,1099.85,294.8037101,3.601989034,1.3745,3.8,63.3,49.23626712,0,Mg70Nd15Ni15
Mg75Ni15Nd10,3,AM,AM,0.099122489,1081.15,293.5641795,3.053669923,1.383,3.6,63.95,48.9034508,0,Mg75Nd10Ni15
Mg80Ni10Nd10,3,AM,AM,0.085960923,1040.9,254.7345481,2.602152955,1.353,3.2,57.2,41.11642008,0,Mg80Nd10Ni10
Mg2Ni9Y,3,IM,IM,0.139676664,1599.75,303.2757615,5.674648008,1.7525,8.083333333,145.9166667,59.04159315,0,Mg2Ni9Y
MgNi4Y,3,IM,IM,0.15912221,1605.666667,306.3966202,6.615544732,1.695,7.5,134.3333333,64.59274125,0,MgNi4Y
Mg70Ni20Y10,3,AM,AM,0.105323151,1171.6,380.1850076,3.594551432,1.421,3.7,71.6,54.21291359,0,Mg70Ni20Y10
MoRhRu,3,SS,HCP,0.037184004,2580.0,269.7121923,4.591098921,2.213333333,7.666666667,276.6666667,73.18166133,0,MoRhRu
Nd60Fe30Al10,3,AM,AM,0.172184863,1414.847,280.3324646,8.28975078,1.394,6.3,77.8,61.71839272,0,Al10Fe30Nd60
Ni45Ti20Zr35,3,AM,AM,0.11328335,1910.6,178.1320858,11.98115336,1.633,6.7,103.0,79.94373021,0,Ni45Ti20Zr35
Ni57.5Zr35Al7.5,3,AM,AM,0.120628776,1808.41025,311.2555795,5.430658731,1.6845,7.375,109.2,84.48999941,0,Al7.5Ni57.5Zr35
Pd77.5Cu6Si16.5,3,AM,AM,0.062310989,1776.55995,117.903619,9.297977809,2.1325,9.07,164.4,30.14365605,0,Cu6Pd77.5Si16.5
Pd77Cu6Si17,3,AM,AM,0.063041941,1775.8547,118.0153159,9.235096192,2.131,9.04,164.0,30.46309242,0,Cu6Pd77Si17
Pd78Cu6Si16,3,AM,AM,0.061562541,1777.2652,117.7875935,9.359822179,2.134,9.1,164.8,29.81543225,0,Cu6Pd78Si16
Pd73Fe7Si20,3,AM,AM,0.068627564,1798.6465,55.98931918,10.38185464,2.1141,8.66,163.3,31.75074802,0,Fe7Pd73Si20
Pd48Ni32P20,3,AM,AM,0.094092366,1493.884,589.9232134,10.3327345,2.1052,9.0,146.2,67.6,0,Ni32P20Pd48
Pd60Ni15P25,3,AM,AM,0.104128445,1435.355,646.4391139,9.02036576,2.154,8.75,137.75,73.17914662,0,Ni15P25Pd60
Sm2Fe17Ni3,3,IM,IM,0.093962364,1757.318182,133.4133653,3.193049896,1.780909091,8.272727273,159.3636364,38.52926332,0,Fe17Ni3Sm2
Y60Fe30Al10,3,AM,AM,0.160846311,1716.047,260.9141964,7.861584573,1.442,4.5,83.2,57.74045376,0,Al10Fe30Y60
Zr66Al8Ni26,3,AM,AM,0.103809205,1928.4376,340.480546,3.727142597,1.5032,5.48,52.88,78.03707837,0,Al8Ni26Zr66
Zr60Al15Ni25,3,AM,AM,0.102016246,1848.8205,419.6356693,5.319842009,1.517,5.35,56.4,76.06207991,0,Al15Ni25Zr60
AlCoCuNi,4,SS,FCC+BCC,0.058520188,1446.81,336.7777121,6.937218463,1.825,8.25,144.0,42.52058325,0,AlCoCuNi
Al0.25CoFeNi,4,SS,FCC,0.039449303,1704.728462,225.0117232,4.244396075,1.853076923,8.538461538,168.9230769,27.2042461,0,Al0.25CoFeNi
Al0.5CoFeNi,4,SS,FCC+BCC,0.051231775,1649.638571,294.0535244,5.286002928,1.835714286,8.142857143,162.2857143,35.49532881,0,Al0.5CoFeNi
Al0.75CoFeNi,4,SS,FCC+BCC,0.058049838,1601.894,335.5839601,5.813546989,1.820666667,7.8,156.5333333,40.48681541,0,Al0.75CoFeNi
AlCoFeNi,4,SS,BCC,0.062373637,1560.1175,362.9837413,6.087256155,1.8075,7.5,151.5,43.78070351,0,AlCoFeNi
AlCrCuFe,4,IM,IM,0.059571944,1570.56,469.1459686,5.785218233,1.75,7.0,136.5,36.56159187,0,AlCrCuFe
Al0.15CrFe1.5Ni0.5,4,SS,2BCC,0.031982269,1873.181111,277.7088174,2.568218738,1.778253968,7.444444444,163.9365079,20.77534636,0,Al0.15CrFe1.5Ni0.5
Al0.2CrFe1.5Ni0.5,4,SS,2BCC,0.036238245,1858.498125,299.1643832,2.808403423,1.775625,7.375,162.5625,23.31970398,0,Al0.2CrFe1.5Ni0.5
Al0.3CrFe1.5Ni0.5,4,IM,IM,0.0428158,1830.46697,334.5610388,3.174592809,1.770606061,7.242424242,159.9393939,27.34065614,0,Al0.3CrFe1.5Ni0.5
Al0.4CrFe1.5Ni0.5,4,IM,IM,0.047772959,1804.084706,362.7778724,3.444040878,1.765882353,7.117647059,157.4705882,30.44110543,0,Al0.4CrFe1.5Ni0.5
AlCrFe2Ni2,4,IM,IM,0.054786574,1698.578333,375.0924584,4.739655547,1.791666667,7.5,156.0,36.42343568,0,AlCrFe2Ni2
AlCrFeNi,4,SS,BCC,0.062600263,1663.1175,454.3214626,5.048978857,1.7525,6.75,146.5,41.31283094,0,AlCrFeNi
Sm60Al10Cu5Co15Fe10,4,AM,AM,0.060599958,1518.83875,365.4135785,6.35011611,1.8025,7.5,146.5,42.50588195,0,Al10Co15Cu5Fe10Sm60
AlCuNiTi,4,SS,FCC,0.069243995,1490.06,383.1629547,10.08053508,1.74,7.0,126.5,38.29817228,0,AlCuNiTi
Al13Fe36Mn33Ni18,4,IM,IM,0.053519567,1585.6211,280.5158615,4.766716302,1.7234,7.38,143.08,35.59485356,0,Al13Fe36Mn33Ni18
AlNbTiV,4,SS,BCC,0.0394704,1951.8675,657.2079752,7.749495951,1.595,4.25,129.0,38.11823711,0,AlNbTiV
Al86Y4.5Ni8La1.5,4,AM,AM,0.075581826,1039.8742,271.8494351,5.811229483,1.6088,3.56,82.025,30.30947665,0,Al86La1.5Ni8Y4.5
Au46Ag5Cu29Si20,4,AM,AM,0.094820791,1408.0716,141.7564671,6.431312728,2.1959,9.6,166.8,51.24217013,0,Ag5Au46Cu29Si20
Au52Pd2.3Cu29.2Si16.5,4,AM,AM,0.082487017,1412.28059,142.1877227,6.170784807,2.2397,9.822,175.92,48.35859386,0,Au52Cu29.2Pd2.3Si16.5
Ce68Al10Fe2Cu20,4,AM,AM,0.102051473,1127.361,161.6181127,6.33091158,1.3392,5.38,53.96,49.93033547,0,Al10Ce68Cu20Fe2
Ce60Al10Ni10Cu20,4,AM,AM,0.114621559,1178.501,223.5009881,6.605977899,1.404,5.9,66.8,59.71398496,0,Al10Ce60Cu20Ni10
Ce60Al15Ni15Cu10,4,AM,AM,0.11094426,1175.7975,254.6195445,6.620445604,1.39,5.45,65.6,60.60891024,0,Al15Ce60Cu10Ni15
Ce65Al12.5Ni12.5Cu10,4,AM,AM,0.10697862,1162.66075,236.9563205,5.823898958,1.358,5.325,60.3,58.39957192,0,Al12.5Ce65Cu10Ni12.5
Ce70Al10Ni10Cu10,4,AM,AM,0.102034806,1149.524,217.072188,5.270318396,1.326,5.2,55.0,55.60035971,0,Al10Ce70Cu10Ni10
CoCrCuFe,4,SS,FCC,0.011105892,1779.1925,291.281893,4.249080783,1.8175,8.5,162.5,14.79019946,0,CoCrCuFe
Co0.25Cr0.25FeMn,4,SS,FCC,0.040450084,1726.8,202.0320767,1.115046187,1.706,7.5,150.0,24.8997992,0,Co0.25Cr0.25FeMn
CoCr2FeNi,4,SS,FCC,0.002795958,1933.4,203.0523085,1.693299737,1.788,7.8,170.0,8.94427191,0,CoCr2FeNi
CoCrFeNi,4,SS,FCC,0.003021159,1871.75,180.3723579,1.636975107,1.82,8.25,172.5,8.291561976,0,CoCrFeNi
CoCrMnNi,4,SS,FCC,0.034469929,1798.75,239.5635354,2.468552207,1.75,8.0,160.0,24.49489743,0,CoCrMnNi
CoCuFeNi,4,SS,FCC,0.011403788,1666.1925,180.4706241,3.31662479,1.88,9.5,167.5,16.39359631,0,CoCuFeNi
CoFeMnNi,4,SS,FCC,0.035512495,1706.5,112.1617136,1.968501969,1.7925,8.5,162.5,24.87468593,0,CoFeMnNi
CoFeNiSi0.25,4,SS,FCC,0.020252824,1762.692308,39.21417447,9.011743684,1.875384615,8.615384615,170.7692308,20.92533924,0,CoFeNiSi0.25
CoFeNiSi0.5,4,SS+IM,FCC+IM,0.026577103,1757.285714,42.51962332,11.16156761,1.877142857,8.285714286,165.7142857,27.18042513,0,CoFeNiSi0.5
CoFeNiSi0.75,4,SS+IM,FCC+IM,0.030453627,1752.6,44.66288541,12.21155271,1.878666667,8.0,161.3333333,30.95516471,0,CoFeNiSi0.75
CoFeNiTi,4,,,0.07199811,1812.0,80.05310737,9.493007295,1.79,7.75,160.0,29.15475947,0,CoFeNiTi
CoFeNiV,4,SS,FCC,0.024152267,1872.5,181.6542045,4.700398919,1.8125,8.0,172.5,8.291561976,0,CoFeNiV
CoFeReRu,4,SS,HCP,0.043717578,2411.25,691.0442732,1.31101106,1.9525,8.0,235.0,80.15609771,0,CoFeReRu
CoFeSiB,4,AM,AM,0.144680224,1903.75,260.8920993,10.4208325,1.9125,6.0,168.5,44.46065677,0,BCoFeSi
Co43Fe20Ta5.5B31.5,4,AM,AM,0.173026518,2043.325,397.8747031,8.474458371,1.8995,6.69,192.96,21.99723619,0,B31.5Co43Fe20Ta5.5
Co63Fe9Zr8B20,4,AM,AM,0.16542493,1916.87,236.3986741,9.010911186,1.8635,7.31,173.5,54.27660638,0,B20Co63Fe9Zr8
Cr45Co34Nb7B14,4,AM,AM,0.125008381,2103.48,280.3554701,8.090024941,1.7838,6.53,176.46,21.10706991,0,B14Co34Cr45Nb7
Cr50Co29Nb7B14,4,AM,AM,0.124994759,2124.08,269.8893358,8.003736406,1.7728,6.38,175.46,21.38757583,0,B14Co29Cr50Nb7
Cr55Co24Nb7B14,4,AM,AM,0.124981076,2144.68,257.3569459,7.83184931,1.7618,6.23,174.46,21.6182423,0,B14Co24Cr55Nb7
Cr0.66FeMnNi,4,SS,FCC,0.036848612,1775.081967,220.095282,2.347030501,1.744699454,7.912568306,157.2677596,23.79717113,0,Cr0.66FeMnNi
CrFe1.5MnNi0.5,4,SS+IM,BCC+,0.036031456,1819.875,236.9358761,1.851348221,1.7275,7.5,156.25,21.75861898,0,CrFe1.5MnNi0.5
CrNbTiZr ,4,SS+IM,BCC+Laves,0.087813408,2249.75,302.1856838,3.640054945,1.5325,4.75,110.0,67.45368782,0,CrNbTiZr
CrNbTiZr,4,SS+IM,BCC+IM,0.087813408,2249.75,302.1856838,3.640054945,1.5325,4.75,110.0,67.45368782,0,CrNbTiZr
Cu90Mn90Ni90Al10,4,SS+IM,FCC+IM,0.038611589,1513.442857,186.0362585,4.364781754,1.780357143,9.107142857,144.1428571,27.78452072,0,Al10Cu90Mn90Ni90
Cu95Mn95Ni95Al5,4,SS,FCC,0.036206504,1524.553448,169.4261491,3.864608447,1.78362069,9.224137931,145.4482759,26.38388511,0,Al5Cu95Mn95Ni95
Cu90Mn90Ni90Sn10,4,SS+IM,FCC+IM,0.057141125,1498.143214,242.2320779,3.349894191,1.792857143,9.142857143,143.5,29.50847336,0,Cu90Mn90Ni90Sn10
Cu95Mn95Ni95Sn5,4,SS+IM,FCC+IM,0.046830693,1517.167414,201.3611067,3.30825966,1.789655172,9.24137931,145.137931,27.28928568,0,Cu95Mn95Ni95Sn5
Cu75Mn75Ni75Zn25,4,SS,FCC,0.039692916,1450.699,290.7202805,3.432908971,1.773,9.6,139.0,33.0,0,Cu75Mn75Ni75Zn25
Cu80Mn80Ni80Zn20,4,SS,FCC,0.038552283,1470.135385,267.5341007,3.409834688,1.776153846,9.538461538,140.7692308,31.49152229,0,Cu80Mn80Ni80Zn20
CuNiCoFe,4,SS,FCC,0.011403788,1666.1925,180.4706241,3.31662479,1.88,9.5,167.5,16.39359631,0,CoCuFeNi
Cu54Ni6Zr22Ti18,4,AM,AM,0.099427646,1654.4158,334.6187713,7.428526763,1.7104,8.14,106.2,58.54536702,0,Cu54Ni6Ti18Zr22
Cu47Ti34Zr11Ni8,4,AM,AM,0.086264529,1670.4119,306.8095331,7.281925809,1.7157,7.77,117.6,45.69726469,0,Cu47Ni8Ti34Zr11
Cu48Ti34Zr10Ni8,4,AM,AM,0.085089858,1662.7096,304.8874301,7.120117558,1.7214,7.84,119.0,44.19275959,0,Cu48Ni8Ti34Zr10
Cu43Zr43Al7Ag7,4,AM,AM,0.107611797,1650.6691,427.7474218,7.266321097,1.6367,7.43,72.52,65.36948524,0,Ag7Al7Cu43Zr43
Cu46Zr42Al7Y5,4,AM,AM,0.118644069,1673.6271,414.412124,7.394921373,1.6063,7.1,71.77,65.98058123,0,Al7Cu46Y5Zr42
Cu60Zr20Hf10Ti10,4,AM,AM,0.103280651,1684.962,421.2542965,4.79315512,1.69,8.2,106.0,54.25863987,0,Cu60Hf10Ti10Zr20
Cu54Zr27Ti9Be10,4,AM,AM,0.118514416,1638.4458,340.7397714,7.458442787,1.6807,7.58,98.5,60.50413209,0,Be10Cu54Ti9Zr27
Fe81B13.5Si3.5C2,4,AM,AM,0.125566723,1919.53,329.8442346,5.346788222,1.8752,7.105,172.1,30.5962416,0,B13.5C2Fe81Si3.5
Fe79B13Si5Mo3,4,AM,AM,0.116165655,1907.29,253.8533157,5.176824604,1.8707,7.09,175.32,26.52880698,0,B13Fe79Mo3Si5
A13 Fe36Mn33Ni18Ti6,4,IM,IM,0.051609474,1699.709677,142.4538847,4.577294374,1.727419355,7.774193548,150.3225806,27.41366165,0,A13Fe36Mn33Ni18Ti6
Fe80Ni80P14B6,4,AM,AM,0.068973525,1675.867778,409.8564146,8.399061052,1.900555556,8.488888889,163.8777778,45.50233884,0,B6Fe80Ni80P14
Fe75P16B6Al3,4,AM,AM,0.096668114,1577.9621,585.7850242,6.094211045,1.8936,7.07,144.98,62.12084674,0,Al3B6Fe75P16
Gd36Al24Co20Nd20,4,AM,AM,0.149413896,1407.6328,306.1133747,12.9397767,1.4224,7.32,74.32,55.38427214,0,Al24Co20Gd36Nd20
Gd40Al24Co20Y16,4,AM,AM,0.144754321,1499.4728,329.5272066,10.30763721,1.4376,7.0,76.0,54.19225037,0,Al24Co20Gd40Y16
Gd46Al24Co20Y20,4,AM,AM,0.144772104,1508.0328,334.3814767,10.73691002,1.4384,6.72,76.12,54.11123358,0,Al24Co20Gd46Y20
Gd50Al24Co20Y6,4,AM,AM,0.144709828,1478.0728,316.053881,8.17905342,1.4356,7.7,75.7,54.39310618,0,Al24Co20Gd50Y6
Gd60Cu20Ni10Al10,4,AM,AM,0.153112181,1488.701,213.4179732,6.89492567,1.452,9.5,76.4,52.60266153,0,Al10Cu20Gd60Ni10
HfNbTaZr,4,SS,BCC,0.053632163,2668.5,421.737774,1.262438117,1.4325,4.5,120.0,76.4852927,0,HfNbTaZr
HfNbTiZr,4,SS,BCC,0.048723866,2331.25,316.0279853,1.211919964,1.4425,4.25,97.5,61.39014579,0,HfNbTiZr
Ho35Al24Co20Y21,4,AM,AM,0.139546791,1562.3228,354.18777,10.65387477,1.4491,7.7,76.85,53.60342806,0,Al24Co20Ho35Y21
La55Al25Ni10Cu10,4,AM,AM,0.161917819,1198.0945,219.4320318,7.606589249,1.3885,4.5,66.4,51.6356466,0,Al25Cu10La55Ni10
